timestamp,symbol,exchange,price,volume,conviction_level,position_size_pct,conviction_reason,trend_strength,breakout_power,volume_surge,momentum_points,total_conviction
2025-08-21 14:57:12.160225,AAPL,SMART,225.58,98.0,1,20,"MINIMAL conviction: 35, trend: 90, vol: 0.0x",90,0,2.678429505483228e-06,20,35
2025-08-21 14:57:14.770576,MSFT,SMART,505.82,8.0,0,0,"No conviction: 5, trend: 70",70,0,7.654615262722997e-07,0,5
2025-08-21 14:57:17.714315,GOOGL,SMART,199.03,62.0,1,20,"MINIMAL conviction: 25, trend: 90, vol: 0.0x",90,0,2.985474726475741e-06,10,25
2025-08-21 14:57:21.451552,AMZN,SMART,224.0,51.0,0,0,"No conviction: 5, trend: 70",70,0,1.7773295221068986e-06,0,5
2025-08-21 14:57:25.235578,NVDA,SMART,175.7,1950.0,0,0,"No conviction: 20, trend: 80",80,0,1.769776589379756e-05,10,20
2025-08-21 14:57:28.966303,TSLA,SMART,323.86,934.0,0,0,"No conviction: 10, trend: 80",80,0,1.5226614119523524e-05,0,10
2025-08-21 14:57:32.695712,META,SMART,747.25,18.0,0,0,"No conviction: 5, trend: 70",70,0,2.764479097497096e-06,0,5
2025-08-21 14:57:38.849453,UNH,SMART,300.0,108.0,0,0,Weak trend: 45,45,0,0.0,0,0
2025-08-21 14:57:42.671777,JNJ,SMART,180.42,3.0,2,25,"LOW conviction: 45, trend: 100, vol: 0.0x",100,0,7.493468318340319e-07,25,45
2025-08-21 14:57:46.626660,JPM,SMART,292.24,0.0,0,0,"No conviction: 5, trend: 70",70,0,0.0,0,5
2025-08-21 14:57:50.399686,V,SMART,343.93,0.0,0,0,Weak trend: 30,30,0,0.0,0,0
2025-08-21 14:57:54.221743,PG,SMART,159.51,0.0,0,0,Weak trend: 45,45,0,0.0,0,0
2025-08-21 14:57:57.990999,XOM,SMART,108.45,1.0,0,0,Weak trend: 40,40,0,0.0,0,0
2025-08-21 14:58:01.777766,HD,SMART,401.74,0.0,1,20,"MINIMAL conviction: 35, trend: 90, vol: 0.0x",90,0,0.0,20,35
2025-08-21 14:58:05.586098,CVX,SMART,153.22,0.0,0,0,"No conviction: 5, trend: 70",70,0,0.0,0,5
2025-08-21 14:58:09.366217,MA,SMART,592.68,0.0,1,20,"MINIMAL conviction: 30, trend: 90, vol: 0.0x",90,0,0.0,15,30
2025-08-21 14:58:13.162360,BAC,SMART,48.38,,0,0,"No conviction: 15, trend: 80",80,0,0.0,5,15
2025-08-21 14:58:16.944243,ABBV,SMART,,,0,0,"No conviction: 20, trend: 100",100,0,0.0,0,20
2025-08-21 14:58:20.731341,PFE,SMART,25.36,28.0,0,0,"No conviction: 5, trend: 70",70,0,8.455544705699218e-07,0,5
2025-08-21 14:58:24.516124,AVGO,SMART,292.06,19.0,0,0,"No conviction: 20, trend: 80",80,0,2.1644899833897037e-06,10,20
2025-08-21 14:58:28.296916,KO,SMART,70.51,,0,0,"No conviction: 5, trend: 70",70,0,0.0,0,5
2025-08-21 14:58:32.148791,LLY,SMART,703.1,1.0,0,0,Weak trend: 0,0,0,0.0,0,0
2025-08-21 14:58:36.257494,WMT,SMART,102.95,120.0,1,20,"MINIMAL conviction: 30, trend: 90, vol: 0.0x",90,0,1.3831439508622896e-05,15,30
2025-08-21 14:58:40.036184,MRK,SMART,84.66,0.0,0,0,"No conviction: 10, trend: 70",70,0,0.0,5,10
2025-08-21 14:58:43.807737,PEP,SMART,150.73,0.0,0,0,"No conviction: 20, trend: 80",80,0,0.0,10,20
2025-08-21 14:58:47.584669,TMO,SMART,494.81,0.0,2,25,"LOW conviction: 40, trend: 90, vol: 0.0x",90,0,0.0,25,40
2025-08-21 14:58:51.408856,COST,SMART,994.57,0.0,0,0,"No conviction: 20, trend: 70",70,0,0.0,15,20
2025-08-21 14:58:55.258428,DIS,SMART,116.91,1.0,0,0,Weak trend: 45,45,0,0.0,0,0
2025-08-21 14:58:59.097691,ABT,SMART,,,0,0,"No conviction: 10, trend: 80",80,0,0.0,0,10
2025-08-21 14:59:02.818789,ADBE,SMART,353.43,0.0,0,0,Weak trend: 0,0,0,0.0,0,0
2025-08-21 14:59:06.551023,CRM,SMART,246.78,3.0,0,0,Weak trend: 0,0,0,0.0,0,0
2025-08-21 14:59:10.319650,ACN,SMART,,,0,0,Weak trend: 0,0,0,0.0,0,0
2025-08-21 14:59:14.093444,MCD,SMART,313.08,0.0,1,20,"MINIMAL conviction: 25, trend: 80, vol: 0.0x",80,0,0.0,15,25
2025-08-21 14:59:17.875418,VZ,SMART,,,0,0,"No conviction: 15, trend: 90",90,0,0.0,0,15
2025-08-21 14:59:21.588206,NFLX,SMART,1207.0,4.0,0,0,Weak trend: 55,55,0,0.0,0,0
2025-08-21 14:59:25.397783,WFC,SMART,,,0,0,Weak trend: 55,55,0,0.0,0,0
2025-08-21 14:59:29.182655,NEE,SMART,,,0,0,"No conviction: 5, trend: 70",70,0,0.0,0,5
2025-08-21 14:59:33.017704,NKE,SMART,76.28,2.0,1,20,"MINIMAL conviction: 25, trend: 90, vol: 0.0x",90,0,3.302646545259563e-07,10,25
2025-08-21 14:59:36.840898,BMY,SMART,,,0,0,Weak trend: 45,45,0,0.0,0,0
2025-08-21 14:59:40.618863,QCOM,SMART,155.44,0.0,0,0,Weak trend: 55,55,0,0.0,0,0
2025-08-21 14:59:44.441792,T,SMART,29.29,,1,20,"MINIMAL conviction: 30, trend: 90, vol: 0.0x",90,0,0.0,15,30
2025-08-21 14:59:49.498000,UPS,SMART,87.25,,0,0,Weak trend: 0,0,0,0.0,0,0
2025-08-21 14:59:53.569717,LOW,SMART,,,0,0,"No conviction: 15, trend: 90",90,0,0.0,0,15
2025-08-21 14:59:57.345494,TXN,SMART,200.81,,1,20,"MINIMAL conviction: 25, trend: 80, vol: 0.0x",80,0,0.0,15,25
2025-08-21 15:00:01.236830,LIN,SMART,,,0,0,"No conviction: 10, trend: 80",80,0,0.0,0,10
2025-08-21 15:00:05.028825,ORCL,SMART,236.05,15.0,0,0,"No conviction: 20, trend: 80",80,0,2.58496328408625e-06,10,20
2025-08-21 15:00:08.854367,HON,SMART,,,0,0,Weak trend: 10,10,0,0.0,0,0
2025-08-21 15:00:12.626824,PM,SMART,173.34,,0,0,Weak trend: 55,55,0,0.0,0,0
2025-08-21 15:00:16.631540,COP,SMART,,,0,0,"No conviction: 5, trend: 70",70,0,0.0,0,5
2025-08-21 15:00:20.572144,IBM,SMART,242.55,0.0,0,0,Weak trend: 10,10,0,0.0,0,0
2025-08-21 15:00:24.402152,RTX,SMART,,,0,0,"No conviction: 15, trend: 90",90,0,0.0,0,15
2025-08-21 15:00:28.127816,AMD,SMART,166.8,516.0,0,0,"No conviction: 20, trend: 60",60,0,9.634040227674327e-06,20,20
2025-08-21 15:00:31.911840,SBUX,SMART,89.77,2.0,0,0,Weak trend: 20,20,0,0.0,0,0
