symbol,source,sector,industry,liquidity_tier,liquidity_score,ddv,fundamental_score,fundamental_percentage,fundamental_grade,market_cap_score,price_score,volume_score,roe_score,profit_margin_score,revenue_growth_score,earnings_growth_score,current_ratio_score,debt_to_equity_score,institutional_score,market_cap,price,volume,roe,profit_margin,gross_margin,operating_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,current_ratio,debt_to_equity,quick_ratio,institutional_ownership,insider_ownership,pe_ratio,peg_ratio,currency
DUOL,IJH,Technology,Software - Application,TIER 2 - GOOD,88.99281073609906,310239832.5,130.0,86.66666666666667,A+,10,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,8112901120,175.5,1763140,36.246,40.032002,71.994,14.585,41.099999999999994,1114.3000000000002,1150.8,2.821,0.07443,2.596,0,0,22.131147,0,USD
CMM.AX,ASX300,Basic Materials,Gold,TIER 3 - ADEQUATE,54.288128474014286,31150219.154,130.0,86.66666666666667,A+,10,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,6559693824,14.38,2173990,27.561999999999998,29.026999999999997,54.754999999999995,45.478,71.89999999999999,191.9,227.0,4.963,0.040709999999999996,4.209,0,0,38.864864,0,AUD
NVDA,IVV,Technology,Semiconductors,TIER 2 - GOOD,84.66506450127505,34858605586.66667,125.0,83.33333333333334,A,5,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,4540715761664,186.5,185917967,107.35900000000001,53.007000000000005,70.05,63.168997000000005,62.5,66.7,65.3,4.468,0.09102,3.605,0,0,46.04938,0,USD
TGTX,IJR,Healthcare,Biotechnology,TIER 3 - ADEQUATE,64.26159132660709,51710910.16666666,125.0,83.33333333333334,A,10,5.0,5.0,20.0,15.0,25.0,25.0,15.0,5,0,4732619264,29.81,1722848,111.95600000000002,84.128,85.341,18.159,92.80000000000001,12050.0,9974.6,3.825,0.41918999999999995,2.532,0,0,10.761733,0,USD
SEZL,IJR,Financial Services,Credit Services,TIER 3 - ADEQUATE,63.52794002567688,58331197.583333336,122.0,81.33333333333333,A,10,5.0,5.0,20.0,15.0,25.0,25.0,15.0,2,0,2167868160,63.475,914851,107.026,27.663,71.646005,57.997,67.0,70.5,72.7,3.517,0.7610399999999999,3.157,0,0,19.53077,0,USD
COIN,IVV,Financial Services,Financial Data & Stock Exchanges,TIER 2 - GOOD,80.0,2080766906.0,120.0,80.0,A,5,5.0,5.0,20.0,15.0,25.0,25.0,15.0,5,0,60980371456,226.14,9411437,26.005,43.664002,84.822,25.253999999999998,58.9,430.6,473.00000000000006,2.404,0.48558999999999997,1.105,0,0,19.528498,0,USD
INCY,IVV,Healthcare,Biotechnology,TIER 2 - GOOD,72.5792462423462,221988044.25,120.0,80.0,A,10,5.0,5.0,20.0,15.0,15.0,25.0,15.0,10,0,19390793728,98.77,2233637,30.389,24.695,56.488997,31.633,20.0,290.7,298.4,3.195,0.00887,2.858,0,0,16.740677,0,USD
MU,IVV,Technology,Semiconductors,TIER 2 - GOOD,77.09300203439197,7302398939.450001,118.0,78.66666666666666,A,5,5.0,5.0,15.0,15.0,25.0,25.0,15.0,8,0,321231585280,285.41,25943908,22.554001,28.145999999999997,45.308998,44.974998,56.699999999999996,175.4,180.20000000000002,2.46,0.21244,1.7,0,0,27.104464,0,USD
TMDX,IJR,Healthcare,Medical Devices,TIER 2 - GOOD,71.98527158579057,106350687.75,117.0,78.0,A,10,5.0,5.0,20.0,12.0,25.0,25.0,15.0,0,0,4157306624,121.65,883630,32.476002,16.203,60.280997,16.2,32.2,450.1,476.79999999999995,7.689,1.46213,6.86,0,0,47.893703,0,USD
FSLR,IVV,Technology,Solar,TIER 2 - GOOD,75.83888335182323,549351016.2,117.0,78.0,A,10,5.0,5.0,10.0,15.0,25.0,25.0,12.0,10,0,28032108544,261.23,2130479,16.864,27.728,40.048,29.225,79.7,45.7,45.7,1.91,0.09893,1.382,0,0,20.032976,0,USD
APP,IVV,Communication Services,Advertising Agencies,TIER 1 - EXCELLENT,98.49470031675644,2847147797.6666665,115.0,76.66666666666667,A,5,5.0,5.0,20.0,15.0,25.0,25.0,15.0,0,0,227919560704,673.82,4456351,241.886,44.879000000000005,79.688,76.795,68.2,95.89999999999999,92.30000000000001,3.25,2.38274,3.048,0,0,79.36632,0,USD
RYN,IJH,Real Estate,REIT - Specialty,TIER 3 - ADEQUATE,73.37141851301163,32532408.58333333,115.0,76.66666666666667,A,10,5.0,5.0,10.0,15.0,25.0,25.0,15.0,5,0,3529603584,21.65,1465729,19.227,59.967000000000006,38.918,27.451999999999998,43.1,45.0,50.2,3.443,0.45621,3.335,0,0,8.326923,0,USD
DOCS,IJH,Healthcare,Health Information Services,TIER 2 - GOOD,74.29703040602662,97479689.4,115.0,76.66666666666667,A,10,5.0,5.0,15.0,15.0,15.0,25.0,15.0,10,0,8336651264,44.28,2150746,24.605,40.724,90.204,38.546002,23.200000000000003,40.9,40.6,7.786,0.010289999999999999,7.264,0,0,35.424,0,USD
PLTR,IVV,Technology,Software - Infrastructure,TIER 2 - GOOD,76.16883428691864,8292191253.75,115.0,76.66666666666667,A,5,5.0,5.0,10.0,15.0,25.0,25.0,15.0,10,0,423655800832,177.75,47967951,19.503999999999998,28.114,80.807996,33.296,62.8,200.0,231.4,6.427,0.0352,6.306,0,0,413.3721,0,USD
LRCX,IVV,Technology,Semiconductor Equipment & Materials,TIER 2 - GOOD,70.93885018669937,1864878570.9,115.0,76.66666666666667,A,5,5.0,5.0,20.0,15.0,20.0,25.0,15.0,5,0,215863508992,171.18,11053679,62.261003,29.657,49.313,34.354,27.700000000000003,44.3,40.5,2.207,0.43991,1.539,0,0,37.704845,0,USD
APH,IVV,Technology,Electronic Components,TIER 2 - GOOD,72.91199609362587,1053664732.3666666,114.0,76.0,A,5,5.0,5.0,20.0,12.0,25.0,25.0,15.0,2,0,165418860544,135.14,7797787,34.807998,18.218,36.308,27.481002,53.400000000000006,102.1,106.1,2.07,0.6399,1.409,0,0,45.046665,0,USD
VITL,IJR,Consumer Defensive,Farm Products,TIER 3 - ADEQUATE,66.63003213177778,54108489.333333336,113.40159984,75.60106655999999,A,10,5.0,5.0,15.0,3.4015998400000003,25.0,25.0,15.0,10,0,1430098176,31.94,1669624,20.712,8.5039996,37.805998,10.757,37.2,125.0,120.5,2.651,0.16992000000000002,2.036,0,0,24.19697,0,USD
PINS,IJH,Communication Services,Internet Content & Information,TIER 2 - GOOD,82.66651996912432,388108403.15,113.4,75.6,A,10,5.0,5.0,20.0,15.0,8.4,25.0,15.0,10,0,17603379200,25.89,14909683,51.491,48.988998,79.994005,5.5770002,16.8,225.0,201.39999999999998,8.363,0.042539999999999994,8.143,0,0,9.08421,0,USD
NXT,IJH,Technology,Solar,TIER 2 - GOOD,73.96542360444778,192772252.25,111.32,74.21333333333334,B+,10,5.0,5.0,20.0,12.0,25.0,9.32,15.0,10,0,13221698560,87.11,2243503,35.449000000000005,17.079,33.238,20.317,42.4,23.3,27.3,2.178,0.023010000000000003,1.844,0,0,22.567358,0,USD
FIX,IVV,Industrials,Engineering & Construction,TIER 2 - GOOD,88.5607769107645,541697070.8333333,111.256,74.17066666666666,B+,10,5.0,5.0,20.0,8.0,25.0,25.0,3.2560000000000002,10,0,32927825920,933.29,572085,43.842,10.062999999999999,23.487,15.434000000000001,35.199999999999996,101.69999999999999,99.4,1.221,0.18972999999999998,1.181,0,0,39.529434,0,USD
PTC,IVV,Technology,Software - Application,TIER 3 - ADEQUATE,69.70061930271592,147624682.95000002,110.98133333333334,73.98755555555556,B+,10,5.0,5.0,15.0,15.0,25.0,25.0,2.9813333333333336,8,0,20809082880,174.21,840122,20.849999999999998,26.795997999999997,83.755,50.643003,42.699999999999996,174.8,174.9,1.118,0.35802,0.967,0,0,28.652962,0,USD
NST.AX,ASX300,Basic Materials,Gold,TIER 3 - ADEQUATE,67.12150029321792,154582712.064,110.76733333333334,73.84488888888889,B+,10,5.0,5.0,3.767333333333333,15.0,25.0,25.0,12.0,10,0,38243557376,26.73,5806030,11.302,20.884000999999998,35.446998,34.067002,32.6,76.4,89.4,1.82,0.11465,1.254,0,0,23.866072,0,AUD
CTRE,IJR,Real Estate,REIT - Healthcare Facilities,TIER 3 - ADEQUATE,64.93149254077866,64921422.93333332,110.69033333333334,73.79355555555556,B+,10,5.0,5.0,2.6903333333333332,15.0,25.0,25.0,15.0,8,0,8074539520,36.16,1800630,8.071,61.00299999999999,96.26599999999999,66.23599999999999,71.2,67.4,124.0,5.14,0.22249,4.597,0,0,26.588236,0,USD
ACAD,IJR,Healthcare,Biotechnology,TIER 3 - ADEQUATE,62.57972860540871,44238749.11666667,110.65,73.76666666666667,B+,10,5.0,5.0,20.0,15.0,5.65,25.0,15.0,10,0,4518846464,26.71,1674567,34.952,24.941999,58.997,12.833,11.3,112.79999999999998,119.10000000000001,3.019,0.05975,2.766,0,0,17.232258,0,USD
EXEL,IJH,Healthcare,Biotechnology,TIER 2 - GOOD,72.13910113495277,121600125.75,110.4,73.6,B+,10,5.0,5.0,20.0,15.0,5.4,25.0,15.0,10,0,11799147520,43.83,2753201,30.563000000000002,29.626,96.626997,42.886,10.8,72.5,64.1,3.752,0.08166999999999999,3.504,0,0,18.415966,0,USD
MC,IJR,Financial Services,Capital Markets,TIER 3 - ADEQUATE,63.70500910804867,57353791.83333333,110.344,73.56266666666667,B+,10,5.0,5.0,20.0,12.0,25.0,25.0,3.344,5,0,5099161088,68.74,831112,51.383995999999996,15.984000000000002,92.644995,13.536999999999999,30.4,201.29999999999998,215.89999999999998,1.254,0.4328,1.133,0,0,22.837208,0,USD
LRN,IJR,Consumer Defensive,Education & Training Services,TIER 1 - EXCELLENT,99.494395712,122718349.3,110.0,73.33333333333333,B+,10,5.0,5.0,15.0,8.0,25.0,25.0,15.0,2,0,2847819008,64.93,1846551,23.041001,12.761,39.202,5.38,47.8,108.3,114.7,6.775,0.57949,6.259,0,0,10.129485,0,USD
NEM,IVV,Basic Materials,Gold,TIER 2 - GOOD,81.54116121174621,1026926462.9166664,110.0,73.33333333333333,B+,5,5.0,5.0,15.0,15.0,15.0,25.0,15.0,10,0,109680197632,99.85,10330704,22.875999,33.423,59.299,46.85,20.0,108.1,98.7,2.039,0.16914,1.379,0,0,15.528771,0,USD
CF,IVV,Basic Materials,Agricultural Inputs,TIER 2 - GOOD,73.82712234517639,175732592.50000003,110.0,73.33333333333333,B+,10,5.0,5.0,15.0,15.0,15.0,25.0,15.0,5,0,12526988288,77.34,2287632,21.967,20.472,36.862,33.936,21.099999999999998,41.6,27.900000000000002,2.273,0.44133,1.863,0,0,9.351873,0,USD
HL,IJH,Basic Materials,Other Precious Metals & Mining,TIER 1 - EXCELLENT,105.0,394570835.26666665,109.95933333333333,73.30622222222222,B+,10,5.0,5.0,2.9593333333333334,12.0,25.0,25.0,15.0,10,0,12859194368,19.19,20590090,8.878,16.268998,49.515998,37.598,67.10000000000001,5684.8,5619.8,2.153,0.11711,1.429,0,0,61.90323,0,USD
CALM,IJR,Consumer Defensive,Farm Products,TIER 3 - ADEQUATE,66.59363000339528,72948980.3,108.7,72.46666666666667,B+,10,5.0,5.0,20.0,15.0,8.7,20.0,15.0,10,0,3859113728,79.57,954024,55.108000000000004,28.858998000000003,43.535998,26.208,17.4,34.599999999999994,32.9,6.841,0.0,5.554,0,0,3.059208,0,USD
LLY,IVV,Healthcare,Drug Manufacturers - General,TIER 1 - EXCELLENT,91.20790267229376,3731953470.466667,108.0,72.0,B+,5,5.0,5.0,20.0,15.0,25.0,25.0,8.0,0,0,963404234752,1074.68,3544243,96.47,30.986000000000004,83.029,48.294,53.900000000000006,480.40000000000003,475.3,1.546,1.7851599999999999,0.724,0,0,52.6288,0,USD
HLNE,IJH,Financial Services,Asset Management,TIER 3 - ADEQUATE,63.90552394778638,72326158.85,107.28,71.52000000000001,B+,10,5.0,5.0,20.0,15.0,20.0,9.280000000000001,15.0,8,0,7540929024,134.31,550653,33.82,31.116,60.777,41.762,27.3,23.200000000000003,28.9,3.175,0.32149,2.988,0,0,24.287521,0,USD
NBIX,IJH,Healthcare,Drug Manufacturers - Specialty & Generic,TIER 2 - GOOD,71.78920603507412,139243257.18333334,106.98599999999999,71.324,B+,10,5.0,5.0,4.985999999999999,12.0,20.0,25.0,15.0,10,0,14141258752,141.83,985617,14.957999999999998,15.953999999999999,63.212,30.104,27.800000000000004,64.5,61.4,3.383,0.15971,2.888,0,0,33.930622,0,USD
EVN.AX,ASX300,Basic Materials,Gold,TIER 3 - ADEQUATE,68.28590499794832,92072699.452,106.0,70.66666666666667,B+,10,5.0,5.0,15.0,15.0,15.0,25.0,8.0,8,0,25748279296,12.68,7231143,20.382998999999998,21.284,35.827999999999996,36.115003,23.599999999999998,71.6,72.39999999999999,1.528,0.36064999999999997,1.019,0,0,27.565218,0,AUD
GMG.AX,ASX300,Real Estate,REIT - Diversified,TIER 3 - ADEQUATE,62.62139064392497,103786898.31666668,105.7196668,70.47977786666667,B+,5,5.0,5.0,2.7196668,15.0,25.0,25.0,15.0,8,0,63347687424,30.98,3321571,8.1590004,48.869,76.829004,59.699999999999996,53.6,581.6,615.0,2.668,0.2263,1.816,0,0,36.023254,0,AUD
VVV,IJH,Consumer Cyclical,Auto & Truck Dealerships,TIER 2 - GOOD,87.78873559960024,65780651.9,104.86933333333333,69.91288888888889,B+,10,5.0,5.0,20.0,8.0,20.0,25.0,1.8693333333333333,10,0,3697651712,29.06,2239140,81.96900000000001,12.318999999999999,38.501999999999995,26.228002,28.1,40.300000000000004,37.7,0.701,0.0,0.406,0,0,17.401197,0,USD
MPWR,IVV,Technology,Semiconductors,TIER 1 - EXCELLENT,95.38395035802256,635980727.1999999,104.45,69.63333333333334,B+,10,5.0,5.0,20.0,15.0,9.45,15.0,15.0,10,0,43420987392,906.36,696467,64.029,71.22,55.239000000000004,26.477,18.9,25.8,23.400000000000002,4.771,0.00528,3.412,0,0,23.257889,0,USD
MNST,IVV,Consumer Defensive,Beverages - Non-Alcoholic,TIER 3 - ADEQUATE,68.4866961551563,420113009.4333333,103.4,68.93333333333334,B+,5,5.0,5.0,20.0,15.0,8.4,20.0,15.0,10,0,74908213248,76.67,5429724,25.538,21.654,55.813,30.738001999999998,16.8,39.5,41.4,3.185,0.00779,2.629,0,0,43.5625,0,USD
